14334,男,3-6个月,2025-08-10 09:57:20
16597,女,6-12岁,2025-08-10 09:57:20
11162,未识别,3-6个月,2025-08-10 09:57:20
9748,未识别,孕早期,2025-08-10 09:57:20
41,女,6-12个月,2025-08-10 09:57:20
8980,男,1-3岁,2025-08-10 09:57:20
4278,男,3-6个月,2025-08-10 09:57:20
4667,未识别,孕晚期,2025-08-10 09:57:20
9555,男,3-6个月,2025-08-10 09:57:20
9406,女,孕早期,2025-08-10 09:57:20
9700,未识别,孕早期,2025-08-10 09:57:20
3907,男,孕晚期,2025-08-10 09:57:20
2855,女,1-3岁,2025-08-10 09:57:20
7505,女,孕早期,2025-08-10 09:57:20
1076,男,3-6个月,2025-08-10 09:57:20
7820,女,孕中期,2025-08-10 09:57:20
4380,女,6-12岁,2025-08-10 09:57:20
14291,男,孕中期,2025-08-10 09:57:20
10871,未识别,0-3个月,2025-08-10 09:57:20
6640,男,孕晚期,2025-08-10 09:57:20
4941,未识别,0-3个月,2025-08-10 09:57:20
7981,未识别,0-3个月,2025-08-10 09:57:20
1086,男,3-6个月,2025-08-10 09:57:20
11277,男,孕晚期,2025-08-10 09:57:20
4807,女,6-12个月,2025-08-10 09:57:20
4099,女,0-3个月,2025-08-10 09:57:20
4476,男,6-12岁,2025-08-10 09:57:20
12270,女,3-6个月,2025-08-10 09:57:20
3392,女,6-12个月,2025-08-10 09:57:20
7261,男,孕晚期,2025-08-10 09:57:20
12968,女,孕中期,2025-08-10 09:57:20
4666,未识别,孕中期,2025-08-10 09:57:20
14507,未识别,3-6岁,2025-08-10 09:57:20
19345,未识别,孕晚期,2025-08-10 09:57:20
12393,未识别,孕中期,2025-08-10 09:57:20
15978,未识别,6-12个月,2025-08-10 09:57:20
7002,未识别,孕中期,2025-08-10 09:57:20
18947,女,孕晚期,2025-08-10 09:57:20
12541,女,3-6岁,2025-08-10 09:57:20
15610,女,孕晚期,2025-08-10 09:57:20
10553,女,6-12岁,2025-08-10 09:57:20
8641,女,3-6岁,2025-08-10 09:57:20
8313,未识别,1-3岁,2025-08-10 09:57:20
10768,未识别,6-12岁,2025-08-10 09:57:20
